ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,ORDERDATETIME,DELIVERYDATETIME,STATUS,PRODUCTLINE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Sales
10107,30,95.7,2,15-12-2013 00:50,17-12-2013 09:08,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Yu,Kwai,Small,2871
10121,34,81.35,5,29-04-2014 23:40,01-05-2014 12:49,Shipped,Motorcycles,Reims,,51100,France,EMEA,Henriot,Paul,Small,2765.9
10134,41,94.74,2,30-12-2012 00:21,30-12-2012 23:34,Shipped,Motorcycles,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,3884.34
10145,45,83.26,6,28-11-2014 00:31,29-11-2014 06:08,Shipped,Motorcycles,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,3746.7
10159,49,100,14,26-10-2013 23:11,27-10-2013 12:16,Shipped,Motorcycles,San Francisco,CA,,USA,NA,Brown,Julie,Medium,4900
10168,36,96.66,1,08-03-2016 22:52,09-03-2016 06:25,Shipped,Motorcycles,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,3479.76
10180,29,86.13,9,18-02-2014 00:23,18-02-2014 19:09,Shipped,Motorcycles,Lille,,59000,France,EMEA,Rance,Martine,Small,2497.77
10188,48,100,1,23-11-2012 01:10,25-11-2012 02:49,Shipped,Motorcycles,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,4800
10201,22,98.57,2,23-12-2014 01:20,25-12-2014 09:28,Shipped,Motorcycles,San Francisco,CA,,USA,NA,Murphy,Julie,Small,2168.54
10211,41,100,14,03-11-2012 23:46,06-11-2012 22:39,Shipped,Motorcycles,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,4100
10223,37,100,1,26-07-2013 00:11,26-07-2013 00:59,Shipped,Motorcycles,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3700
10237,23,100,7,18-12-2013 00:39,20-12-2013 15:02,Shipped,Motorcycles,NYC,NY,10022,USA,NA,Frick,Michael,Small,2300
10251,28,100,2,05-06-2013 01:05,06-06-2013 23:47,Shipped,Motorcycles,Newark,NJ,94019,USA,NA,Brown,William,Medium,2800
